Model,Missing,Feature,Imbalance,Params,Accuracy,Precision,Recall,F1,FNR
RandomForest,model,none,undersample,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,model,none,smote,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,model,tfidf,none,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,model,tfidf,undersample,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
RandomForest,model,tfidf,smote,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.751,0.0,0.0,0.0,1.0
SVM,knn,domain,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,knn,domain,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,knn,domain,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,knn,domain,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,model,domain,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,model,domain,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,model,domain,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,model,domain,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.274,0.255,1.0,0.406,0.0
SVM,drop,none,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.249,0.249,1.0,0.398,0.0
SVM,drop,domain,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.774,0.625,0.227,0.333,0.773
SVM,drop,domain,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.774,0.625,0.227,0.333,0.773
SVM,drop,domain,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.774,0.625,0.227,0.333,0.773
SVM,drop,domain,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.774,0.625,0.227,0.333,0.773
SVM,drop,tfidf,class_weight,"{'C': 1, 'class_weight': 'balanced', 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.78,0.857,0.136,0.235,0.864
SVM,drop,tfidf,none,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.757,1.0,0.023,0.044,0.977
SVM,drop,tfidf,undersample,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.757,1.0,0.023,0.044,0.977
SVM,drop,tfidf,smote,"{'C': 1, 'class_weight': None, 'kernel': 'linear', 'max_iter': 1000, 'probability': True}",0.757,1.0,0.023,0.044,0.977
